UID,ChainName,Name,Est,Address,City,St,zip,Phone,latitude,longitude,Amenities,RecordID,Web,Booking,Comments,Pin,Rating,Reviews
158452,Campground,Tall Pines Campground,57,29551 Persimmon Rd.,Lewes,DE,19958,302-684-0300,38.737013,-75.23692,"$$$$$, 524 sites, Mem Day-Lab Day, All ages, Tents Only sites: 16, 40 ft max RV length, 23 ft elev, Accepts Big Rigs, 5 pull thrus, 484 full hookups, electric, 24 elec-water hookups, 20/30/50 amp, 300 amp sites, tables, grill, water, showers, dump, laundry, firewood, internet, pet friendly extra rules, pool, playground, Seasonals, (C)",16945,http://www.tallpines-del.com/,,,camp_rvt_pin,2,https://www.allstays.com/reviews2/review.php?LocID=16945
158453,Campground,Delaware Beach Jellystone Park Camp Resort,57,8295 Brick Granary Rd,Lincoln,DE,19960,302-491-6614,38.873566,-75.361537,"$$$$$, 277 sites, mid Apr-Oct 31, All ages, Tents sites: 200, 65 ft max RV length, 8 ft elev, Accepts Big Rigs, 22 pull thrus, 277 full hookups, electric, 20/30/50 amp, 277 amp sites, tables, grill, water, toilets, showers, dump, laundry, firewood, internet, cable tv, pet friendly, pool, playground, store, cabins (C)",16946,http://www.delawarejellystone.com/,http://www.delawarejellystone.com/,,camp_rvt_pin,4,https://www.allstays.com/reviews2/review.php?LocID=16946
158456,Campground,Pine Haven Campground,57,22506 Corey Dr,Milford,DE,19963,302-422-7117,38.9148,-75.4124,"130 sites, Apr-Oct, All ages, Tents, 10 ft elev, (C)",16949,,,,camp_rvt_pin,1,//www.allstays.com/Campgrounds-reviews/16949.php
158457,Campground,Leisure Point Resort,57,25491 Dogwood Ln,Millsboro,DE,19966,302-945-2000,38.6364,-75.157946,"$$$$$, 43 sites, Apr 15-Oct 15, RVs only, All Ages, No tent, 13 ft elev, 43 full hookups, electric, 30/50 amp, 43 amp sites, water, toilets, showers, laundry, internet, cable tv, pet friendly extra rules, pool, store, fish, Mostly seasonal and membership but have a limited number of sites for overnights, (C)",37632,http://leisurepoint.com/,,,camp_rv_pin,5,https://www.allstays.com/reviews2/review.php?LocID=37632
158458,Campground,Resort at Masseys Landing,57,36625 Long Neck Rd.,Millsboro,DE,19966,888-985-1761,38.625525,-75.102113,"$$$$$, 268 sites, Apr-Oct, All Ages, Tents, 45 ft max RV length, 10 ft elev, Accepts Big Rigs, pull thrus, 264 full hookups, electric, 50 amp, tables, grill, water, toilets, showers, Clubs-GSC, RV Storage, propane, laundry, firewood, internet, pet friendly extra rules, pool, playground, store, fish, boat launch, 22 cabins (C)",42136,http://www.masseyslanding.com/,,,camp_rvt_pin,5,http://www.allstays.com/Campgrounds-reviews/42136.php
158459,Campground,Brumbleys Family Park,57,25601 Amys Ln,Milton,DE,19968,302-684-5189,38.822123,-75.305743,"$$$$, 35 sites, All Year, All ages, Tents, 40 ft max RV length, 10 ft elev, Accepts Big Rigs, full hookups, electric, 30/50 amp, water, toilets, showers, dump, pet friendly, pool, playground, fish, boat launch, (C)",16950,,,,camp_rvt_pin,0,http://www.allstays.com/Campgrounds-reviews/16950.php
158463,Campground,Bayshore RV Campground Marina,57,30145 Bayshore Road,Ocean View,DE,19970,302-539-7200,38.575221,-75.088561,"$$$$, RVs only, All ages, No tent, 5 ft elev, full hookups, electric, water, boat launch, Seasonals, (C)",16954,,,,camp_rv_pin,3,http://www.allstays.com/Campgrounds-reviews/16954.php
158464,Campground,Big Oaks Family Campground,57,35567 Big Oak Ln,Rehoboth Beach,DE,19971,302-645-6838,38.738245,-75.13054,"$$$$$, 150 sites, May 1-early Oct, All ages, Tents Only sites: 25, 40 ft max RV length, 26 ft elev, Accepts Big Rigs, 125 full hookups, electric, 25 elec-water hookups, 20/30/50 amp, 75 amp sites, tables, grill, water, showers, dump, laundry, firewood, internet, cable tv, pet friendly extra rules, pool, playground, store, Seasonals, (C)",16955,http://bigoakscamping.com/,,,camp_rvt_pin,3,https://www.allstays.com/reviews2/review.php?LocID=16955
158465,Campground,North - Delaware Seashore State Park,60,Inlet 850,Rehoboth Beach,DE,19971,302-227-2800,38.6109958,-75.06496886,"$$$$, 182 sites, All Year, All ages, Tents Only sites: 37, 40 ft max RV length, 3 ft elev, Accepts Big Rigs, full hookups, electric, tables, grill, water, flush t, showers, laundry, trail, hike,  (C)",16956,https://destateparks.com/Beaches/DelawareSeashore,http://delawarestateparks.reserveamerica.com/campsiteCalendar.do?contractCode=DE&parkId=360109,,sp_rvt_pin,4,https://www.allstays.com/reviews2/review.php?LocID=16956
158466,Campground,Holly Lake Campsites,57,32087 Holly Lake Road,Millsboro,DE,19966,302-945-3410,38.658644,-75.200894,"$$$$, All Year, All ages, Tents, 7 ft elev, 200 pull thrus, 1100 full hookups, electric, 100 elec-water hookups, 600 amp sites, water, toilets, showers, dump, Clubs-GSC, propane, laundry, pool, store, trail, hike, 800 Seasonals, (C)",16957,http://www.hollylakecampsites.com/,,,camp_rvt_pin,3,https://www.allstays.com/reviews2/review.php?LocID=16957
158468,Campground,Treasure Beach RV Park,57,37291 Lighthouse Rd,Selbyville,DE,19975,302-436-8001,38.462713,-75.079966,"$$$$$, 1010 sites, Apr 20-Oct 15, All ages, Tents Only sites: 10, 40 ft max RV length, 13 ft elev, Accepts Big Rigs, 1000 full hookups, electric, 10 elec-water hookups, 20/30/50 amp, 1000 amp sites, tables, water, dump, laundry, firewood, internet, cable tv, pet friendly extra rules, pool, playground, Seasonals, (C)",16959,http://www.treasurebeachrvpark.com/,,,camp_rvt_pin,4,https://www.allstays.com/reviews2/review.php?LocID=169
158469,Campground,Blackbird State Forest,59,,Smyrna,DE,19977,302-653-6505,39.345715,-75.675938,"$, 5 sites, All Year, All ages, Tents, 58 ft elev, tables, grill, trail, hike, horses, 40 miles of trails, ONLY for tent, van or pickup campers. No trailers or RVs. (C)",16960,https://agriculture.delaware.gov/forest-service/camping/,,,nf_rvt_pin,0,https://www.allstays.com/reviews2/review.php?LocID=16960
158470,Campground,Casino at Delaware Park,64,777 Delaware Park Blvd.,Wilmington,DE,19804,302-994-2521,39.703898,-75.670574,"free, All Year, RVs only, All ages, No tent, 39 ft elev, pet friendly, Casino, Overnight was fine in May 2021: Called ahead to ask about overnight stay. I was told fine to stay overnight. Constant security patrols. Just us and two tractor trailers. Huge level lot great lighting a bit noisy but very good spot. (C)",16961,http://www.delawarepark.com/,,,onp_rv_pin,3,http://www.allstays.com/Campgrounds-reviews/16961.php
198703,Campground,Deep Branch Family Campground,57,26633 Zion Church Rd,Milton,DE,19968,302-684-4031,38.806065,-75.283297,"$$$$, 20 sites, May-Sep, All ages, Tents, 30 ft max RV length, 20 ft elev, electric, 30 amp, water, toilets, showers, dump, laundry, pool, playground, store, cabins (C)",48446,https://www.deepbranchcampground.com/,,,camp_rvt_pin,0,http://www.allstays.com/Campgrounds-reviews/48446.php
242672,Campground,South - Delaware Seashore State Park,60,Inlet 850,Rehoboth Beach,DE,19971,302-227-2800,38.6058566,-75.06517271,"$$$$, 182 sites, All Year, All ages, Tents Only sites: 37, 40 ft max RV length, 3 ft elev, Accepts Big Rigs, pull thrus, tables, grill, water, flush t, showers, dump, laundry, playground, store, trail, hike,  (C)",52795,https://destateparks.com/Beaches/DelawareSeashore,http://delawarestateparks.reserveamerica.com/campsiteCalendar.do?contractCode=DE&parkId=360109,,sp_rvt_pin,4,https://www.allstays.com/reviews2/review.php?LocID=52795
243596,Campground,Sun Outdoors Rehoboth Bay,57,20628 Long Beach Dr,Millsboro,DE,19966,302-947-2600,38.6262003,-75.10320547,"$$$$$, 200 sites, All Year, All ages, Tents, 45 ft max RV length, 4991 ft elev, Accepts Big Rigs, pull thrus, full hookups, electric, 20/30/50 amp, tables, grill, water, toilets, showers, internet, pet friendly extra rules, pool, store, (C)",53828,https://www.sunoutdoors.com/delaware/sun-outdoors-rehoboth-bay,https://www.sunoutdoors.com/delaware/sun-outdoors-rehoboth-bay,,camp_rvt_pin,0,https://www.allstays.com/reviews2/review.php?LocID=53828
163401,Campground,Skippers Point Recreation Area,122,Skipper Point Circle/Road,Aberdeen,MD,21005,410-278-4124,39.407583,-76.281964,"$, 15 sites, Apr-Oct, No RVs, All ages, Tents only camp, 25 ft elev, tables, playground, fish, trail, hike, Reservations required. For Military Use with ID Card, Active, National Guard, Reservists, Retired, DAV. DoD Civilians, (C)",20756,https://aberdeen.armymwr.com/programs/campgrounds,,,mil_tent_pin,3,http://www.allstays.com/Campgrounds-reviews/20756.php
163402,Campground,Bar Harbor RV Park,57,4228 Birch Ave,Abingdon,MD,21009,410-679-0880,39.461108,-76.242827,"$$$$$, 93 sites, Mar 1-Dec 31, RVs only, All ages, No tent, 40 ft max RV length, 7 ft elev, Accepts Big Rigs, 7 pull thrus, 93 full hookups, electric, 30/50 amp, 93 amp sites, tables, grill, water, toilets, showers, dump, propane, laundry, firewood, internet, cable tv, pet friendly, pool, playground, store, (C)",20757,http://www.barharborrvpark.com,,,camp_rv_pin,3,https://www.allstays.com/reviews2/review.php?LocID=207
163403,Campground,Bumble Bee RV Park and Campground,57,123 Forest Lane,Accident,MD,21520,301-273-4861,39.578967,-79.325413,"$$$$, 35 sites, All ages, Tents, 2788 ft elev, Accepts Big Rigs, pull thrus, full hookups, electric, 20/30/50 amp, water, toilets, showers, dump, pet friendly, (C)",35875,http://www.bumblebeervparkandcampground.com/,,,camp_rvt_pin,5,https://www.allstays.com/reviews2/review.php?LocID=35875
163404,Campground,Annapolis FamCamp,122,89 Bennion Road,Annapolis,MD,21402,410-293-9200,38.99297,-76.47532,"$$, 14 sites, All Year, All ages, Tents sites: 2, 40 ft max RV length, 52 ft elev, Accepts Big Rigs, 1 pull thru, electric, 14 elec-water hookups, 30 amp, tables, water, toilets, showers, dump, laundry, pet friendly, pool, fish, For Military Use with ID Card, Active duty military, retired military, active reservists, current and retired Department of Defense civilian employees (Civil Service and Non-appropriated), active duty Coast Guard, family members in all of the previous categories, Midshipmen at the U.S. Naval Academy and USNA DoD Contractors., Wi-Fi is only available at MWR, not the campground. The best dump is located at the gas station; there is also one at the campground behind the bathhouse with nearby water hose. RV Propane & tank refills available at Arundel Gas & Water Conditioning, 3177 Solomons Island Road, Mayo, MD 21037 ON",20758,https://www.cnic.navy.mil/regions/ndw/installations/nsa_annapolis/ffr/things_to_do/recreation/recreational_lodging.html,,,mil_rvt_pin,3,https://www.allstays.com/reviews2/review.php?LocID=20758
163406,Campground,Assateague State Park,60,7307 Stephen Decatur Hwy,Assateague Island,MD,21811,410-641-2918,38.2340382,-75.13940091,"$$$$, 342 sites, late Apr-late Oct, All ages, Tents, 60 ft max RV length, 3 ft elev, Accepts Big Rigs, 20 pull thrus, 39 electric only sites, tables, grill, water, toilets, showers, dump, firewood, pet friendly extra rules, playground, fish, trail, hike, boat launch, (C)",20762,http://dnr.maryland.gov/publiclands/Pages/eastern/assateague.aspx,https://parkreservations.maryland.gov/,,sp_rvt_pin,5,https://www.allstays.com/reviews2/review.php?LocID=20762
163407,Campground,Bayside - Assateague Island National Seashore,63,National Park Service,Assateague Island,MD,21811,410-641-1441,38.20799,-75.16172,"$$$, 49 sites, All Year, All ages, Tents, 62 ft max RV length, 4 ft elev, Accepts Big Rigs, 22 pull thrus, tables, grill, water, toilets, dump, fish, trail, hike, (C)",20760,https://www.nps.gov/asis/planyourvisit/marylandcamping.htm,https://www.recreation.gov/camping/campgrounds/232507,,np_rvt_pin,4,https://www.allstays.com/reviews2/review.php?LocID=20760
163408,Campground,Oceanside - Assateague Island National Seashore,63,National Park Service,Assateague Island,MD,21811,410-641-1441,38.19788,-75.15585,"$$$, 104 sites, All Year, All ages, Tents, 54 ft max RV length, 4 ft elev, Accepts Big Rigs, tables, grill, water, toilets, dump, fish, trail, hike, (C)",20761,https://www.nps.gov/asis/planyourvisit/marylandcamping.htm,https://www.recreation.gov/camping/campgrounds/232507,,np_rvt_pin,5,https://www.allstays.com/reviews2/review.php?LocID=20761
163409,Campground,Sun Outdoors Ocean City,57,12550 Eagles Nest Rd,Berlin,MD,21811,410-213-0097,38.30441,-75.11943,"$$$$$, 343 sites, Mar-Nov, All ages, Tents, 45 ft max RV length, 12 ft elev, Accepts Big Rigs, 6 pull thrus, 343 full hookups, electric, 20/30/50 amp, 343 amp sites, tables, grill, water, toilets, showers, dump, RV Storage, propane, laundry, firewood, internet, cable tv, pet friendly, pool, playground, beach, store, fish, boat launch, 50 cabins (C)",20763,https://www.sunoutdoors.com/maryland/sun-outdoors-ocean-city,https://www.sunoutdoors.com/maryland/sun-outdoors-ocean-city,,camp_rvt_pin,5,https://www.allstays.com/reviews2/review.php?LocID=20763
163410,Campground,Sun Outdoors Frontier Town,57,8428 Stephen Decatur Hwy,Berlin,MD,21811,410-641-0693,38.29045,-75.15119,"$$$$$, 542 sites, Apr-Nov 30, All ages, Tents Only sites: 39, 50 ft max RV length, 7 ft elev, Accepts Big Rigs, 313 full hookups, electric, 190 elec-water hookups, 20/30/50 amp, 500 amp sites, tables, grill, water, toilets, showers, dump, RV Storage, propane, laundry, firewood, internet, pet friendly, pool, playground, store, fish, trail, hike, boat launch, (C)",20764,https://www.sunoutdoors.com/maryland/sun-outdoors-frontier-town,https://www.sunoutdoors.com/maryland/sun-outdoors-frontier-town,,camp_rvt_pin,4,https://www.allstays.com/reviews2/review.php?LocID=20764
163411,Campground,Fort Frederick State Park,60,11100 Fort Frederick Rd,Big Pool,MD,21711,301-842-2155,39.603704,-78.007396,"$$, 29 sites, All Year, All ages, Tents, 29 ft max RV length, 384 ft elev, tables, grill, portabl, firewood, pet friendly, playground, (C)",20765,http://www.dnr.state.md.us/publiclands/Pages/western/fortfrederick.aspx,https://parkreservations.maryland.gov/create-booking/results?resourceLocationId=-2147483640&mapId=-2147483600&searchTabGroupId=0&bookingCategoryId=0&nights=1&isReserving=true,,sp_rvt_pin,0,https://www.allstays.com/reviews2/review.php?LocID=20765
163412,Campground,Greenbrier State Park,60,21843 National Pike,Boonsboro,MD,21713-9535,888-432-2267,39.536196,-77.616673,"$$$, 165 sites, Apr 1-Oct 30, All ages, Tents, 30 ft max RV length, 903 ft elev, 4 pull thrus, 40 electric only sites, 30 amp, tables, grill, water, toilets, showers, dump, firewood, pet friendly, playground, fish, (C)",20766,http://www.dnr.state.md.us/publiclands/Pages/western/greenbrier.aspx,https://parkreservations.maryland.gov/create-booking/results?resourceLocationId=-2147483637&mapId=-2147483590&searchTabGroupId=0&bookingCategoryId=0&nights=1&isReserving=true,,sp_rvt_pin,5,https://www.allstays.com/reviews2/review.php?LocID=20766
163414,Campground,Brunswick Family Campground,57,655 E Potomac St,Brunswick,MD,21716,301-834-9952,39.307504,-77.614806,"$$$$, 148 sites, Apr-Oct 31, All ages, Tents sites: 65, 333 ft elev, 65 electric only sites, 30/50 amp, tables, grill, water, toilets, showers, dump, Clubs-GSC, internet, playground, boat launch, (C)",20768,http://www.potomacrivercampground.com/,,,camp_rvt_pin,4,https://www.allstays.com/reviews2/review.php?LocID=207
163415,Campground,Take It Easy Campground,57,45285 Take It Easy Ranch Rd.,Callaway,MD,20620,301-994-0494,38.222437,-76.505785,"$$$$$, 242 sites, All Year, All ages, Tents, 53 ft max RV length, 92 ft elev, Accepts Big Rigs, 5 pull thrus, 200 full hookups, electric, 42 elec-water hookups, 30/50 amp, 175 amp sites, water, toilets, showers, dump, propane, laundry, internet, pet friendly extra rules, pool, playground, fish, (C)",20769,http://www.takeiteasycampground.com/,,,camp_rvt_pin,3,https://www.allstays.com/reviews2/review.php?LocID=207
163418,Campground,Breezy Point Beach and Campground,127,5300 Breezy Point Road,Chesapeake Beach,MD,20732,410-535-0259,38.618832,-76.513642,"$$$$, May 1-Oct 31, All ages, Tents, 3 ft elev, tables, grill, playground, (C)",20772,http://www.co.cal.md.us/Facilities/Facility/Details/15,,,cp_rvt_pin,5,http://www.allstays.com/Campgrounds-reviews/20772.php
163419,Campground,Duck Neck Campground,57,500 Double Creek Point Rd,Chestertown,MD,21620,410-778-3070,39.236716,-75.977213,"$$$$$, 271 sites, Mar 1-Nov 31, All Ages, Tents sites: 10, 20 ft elev, 271 full hookups, electric, 10 elec-water hookups, 30 amp, water, toilets, showers, dump, propane, laundry, internet, store, (C)",37927,https://chesapeakervcampground.com/,https://chesapeakervcampground.com/,,camp_rvt_pin,4,https://www.allstays.com/reviews2/review.php?LocID=37927
163420,Campground,Little Bennett Regional Park Campground,127,23701 Frederick Rd,Clarksburg,MD,20871,301-528-3430,39.245149,-77.288099,"$$$$$, 91 sites, Apr 1-Oct 31, All ages, Tents sites: 91, 656 ft elev, full hookups, electric, 30/50 amp, 25 amp sites, tables, grill, water, toilets, showers, dump, Clubs-PA-AM, laundry, firewood, internet, pet friendly, playground, store, weekends only in Mar and Nov (C)",20773,http://www.montgomeryparks.org/parks-and-trails/little-bennett-regional-park/little-bennett-camping/,,,cp_rvt_pin,5,https://www.allstays.com/reviews2/review.php?LocID=207
163421,Campground,Andrews AFB FamCamp,122,4520 Wheeling Rd,Clinton,MD,20735,301-981-4109,38.78446,-76.88149,"$$, 44 sites, All Year, RVs only, All ages, Tents sites: 20, 45 ft max RV length, 261 ft elev, Accepts Big Rigs, 29 full hookups, 14 electric only sites, 30 amp, tables, grill, water, toilets, showers, dump, laundry, pet-friendly with extra rules, For Military Use with ID Card, Active, National Guard, Reservists, Retired, DAV, Reservations required, (C)",20774,https://andrewsfss.com/family-campground/,,,mil_rvt_pin,3,https://www.allstays.com/reviews2/review.php?LocID=20774
163422,Campground,Louise F Cosca Regional Park,127,11000 Thrift Rd,Clinton,MD,20735,301-868-1397,38.73655,-76.910212,"$$$, 25 sites, All Year, All ages, 45 ft max RV length, 194 ft elev, Accepts Big Rigs, 5 pull thrus, electric, 23 elec-water hookups, 20/30 amp, tables, grill, water, toilets, showers, dump, pet friendly, pool, playground, fish, trail, (C)",20775,http://outdoors.pgparks.com/3248/Cosca-Regional-Park,,,cp_rvt_pin,4,https://www.allstays.com/reviews2/review.php?LocID=20775
163424,Campground,Cherry Hill Park,57,9800 Cherry Hill Rd,College Park,MD,20740,301-937-7116,39.025193,-76.940421,"$$$$$, 400, All Year, All ages, Tents sites: 19, 45 ft max RV length, 190 ft elev, Accepts Big Rigs, 37 pull thrus, all full hookups, electric, 30/50 amp, 400 amp sites, tables, grill, water, toilets, showers, dump, Clubs-GSC, propane, laundry, firewood, internet, cable tv, pet friendly, pool, playground, store, fish, trail, hike, 12 cabins, 8 glamping pods, 4 yurts, 3 cottages",20777,http://www.cherryhillpark.com,,,camp_rvt_pin,4,https://www.allstays.com/reviews2/review.php?LocID=20777
163426,Campground,Janes Island State Park,60,26280 Alfred Lawson Drive,Crisfield,MD,21817,410-968-1565,38.009655,-75.845668,"$$$, 104 sites, All Year, All ages, Tents sites: 40, 60 ft max RV length, 3 ft elev, Accepts Big Rigs, 6 pull thrus, 49 electric only sites, 40 elec-water hookups, 20/30/50 amp, tables, grill, water, flush t, showers, dump, firewood, pet friendly extra rules, playground, beach, fish, boat launch, only 4 sites are open all year (C)",20779,http://www.dnr.state.md.us/publiclands/Pages/eastern/janesisland.aspx,https://parkreservations.maryland.gov/create-booking/results?resourceLocationId=-2147483633&mapId=-2147483568&searchTabGroupId=0&bookingCategoryId=0&nights=1&isReserving=true,,sp_rvt_pin,5,https://www.allstays.com/reviews2/review.php?LocID=20779
163427,Campground,Woodlawn Camp Ground,57,1209 Walnut St,Delmar,MD,21875,410-896-2979,38.451039,-75.561263,"$$$, 32 sites, Apr-Oct, RVs only, All ages, No tent, 48 ft elev, 14 pull thrus, electric, 32 elec-water hookups, water, toilets, showers, dump, laundry, firewood, internet, playground, beach, (C)",20780,http://www.woodlawncampground.com/,,,camp_rv_pin,3,https://www.allstays.com/reviews2/review.php?LocID=20780
163428,Campground,Martinak State Park,60,137 Deep Shore Rd,Denton,MD,21629,410-820-1668,38.8638046,-75.83701718,"$$$, 63 sites, late Mar-Oct 31, All ages, Tents Only sites: 3, 40 ft max RV length, 22 ft elev, Accepts Big Rigs, 30 electric only sites, tables, grill, water, toilets, showers, dump, pet friendly, playground, (C)",20781,http://www.dnr.state.md.us/publiclands/Pages/eastern/martinak.aspx,https://parkreservations.maryland.gov/create-booking/results?resourceLocationId=-2147483632&mapId=-2147483560&searchTabGroupId=0&bookingCategoryId=0&nights=1&isReserving=true,,sp_rvt_pin,5,https://www.allstays.com/reviews2/review.php?LocID=20781
163429,Campground,Dennis Point Marina and Campground,57,46555 Dennis Point Way,Drayden,MD,20630,301-994-2288,38.159801,-76.470551,"$$$$, 100 sites, All Year, All ages, Tents, 40 ft max RV length, 2 ft elev, Accepts Big Rigs, pull thrus, full hookups, electric, 30/50 amp, tables, water, toilets, showers, dump, internet, pet friendly, pool, playground, fish, boat launch, (C)",20782,,,,camp_rvt_pin,2,https://www.allstays.com/reviews2/review.php?LocID=207
